syd,did,wei,symptom,diagnose,symptom_index,symptom_vec,diagnose_index,diagnose_vec,symptom_vec_scaled,diagnose_vec_scaled,features,prediction
1.0,163.0,2.0,Upper abdominal pain,Cholecystitisinflammation of the gallbladder,23.0,"(246,[23],[1.0])",110.0,"(1156,[110],[1.0])","(246,[23],[1.0])","(1156,[110],[1.0])","(1402,[23,356],[1.0,1.0])",0
2.0,163.0,1.0,Lower abdominal pain,Cholecystitisinflammation of the gallbladder,20.0,"(246,[20],[1.0])",110.0,"(1156,[110],[1.0])","(246,[20],[1.0])","(1156,[110],[1.0])","(1402,[20,356],[1.0,1.0])",0
7.0,163.0,1.0,Back ache or pain,Cholecystitisinflammation of the gallbladder,5.0,"(246,[5],[1.0])",110.0,"(1156,[110],[1.0])","(246,[5],[1.0])","(1156,[110],[1.0])","(1402,[5,356],[1.0,1.0])",0
29.0,163.0,2.0,Fever,Cholecystitisinflammation of the gallbladder,19.0,"(246,[19],[1.0])",110.0,"(1156,[110],[1.0])","(246,[19],[1.0])","(1156,[110],[1.0])","(1402,[19,356],[1.0,1.0])",0
32.0,163.0,1.0,Flank pain,Cholecystitisinflammation of the gallbladder,59.0,"(246,[59],[1.0])",110.0,"(1156,[110],[1.0])","(246,[59],[1.0])","(1156,[110],[1.0])","(1402,[59,356],[1.0,1.0])",0
54.0,163.0,1.0,Kidney pain (Flank pain),Cholecystitisinflammation of the gallbladder,68.0,"(246,[68],[1.0])",110.0,"(1156,[110],[1.0])","(246,[68],[1.0])","(1156,[110],[1.0])","(1402,[68,356],[1.0,1.0])",0
113.0,163.0,1.0,Vomiting,Cholecystitisinflammation of the gallbladder,11.0,"(246,[11],[1.0])",110.0,"(1156,[110],[1.0])","(246,[11],[1.0])","(1156,[110],[1.0])","(1402,[11,356],[1.0,1.0])",0
179.0,163.0,2.0,Jaundice (Yellowing skin),Cholecystitisinflammation of the gallbladder,86.0,"(246,[86],[1.0])",110.0,"(1156,[110],[1.0])","(246,[86],[1.0])","(1156,[110],[1.0])","(1402,[86,356],[1.0,1.0])",0
262.0,163.0,2.0,Chest pain,Cholecystitisinflammation of the gallbladder,0.0,"(246,[0],[1.0])",110.0,"(1156,[110],[1.0])","(246,[0],[1.0])","(1156,[110],[1.0])","(1402,[0,356],[1.0,1.0])",0
264.0,163.0,1.0,Stomach and abdominal pain,Cholecystitisinflammation of the gallbladder,4.0,"(246,[4],[1.0])",110.0,"(1156,[110],[1.0])","(246,[4],[1.0])","(1156,[110],[1.0])","(1402,[4,356],[1.0,1.0])",0
1.0,164.0,2.0,Upper abdominal pain,Choledocholithiasisstone in bile duct,23.0,"(246,[23],[1.0])",410.0,"(1156,[410],[1.0])","(246,[23],[1.0])","(1156,[410],[1.0])","(1402,[23,656],[1.0,1.0])",0
179.0,164.0,1.0,Jaundice (Yellowing skin),Choledocholithiasisstone in bile duct,86.0,"(246,[86],[1.0])",410.0,"(1156,[410],[1.0])","(246,[86],[1.0])","(1156,[410],[1.0])","(1402,[86,656],[1.0,1.0])",0
232.0,164.0,2.0,Steatorrhea (Excess fat in stool),Choledocholithiasisstone in bile duct,199.0,"(246,[199],[1.0])",410.0,"(1156,[410],[1.0])","(246,[199],[1.0])","(1156,[410],[1.0])","(1402,[199,656],[1.0,1.0])",0
262.0,164.0,1.0,Chest pain,Choledocholithiasisstone in bile duct,0.0,"(246,[0],[1.0])",410.0,"(1156,[410],[1.0])","(246,[0],[1.0])","(1156,[410],[1.0])","(1402,[0,656],[1.0,1.0])",0
1.0,165.0,1.0,Upper abdominal pain,Cholelithiasisgallstones,23.0,"(246,[23],[1.0])",75.0,"(1156,[75],[1.0])","(246,[23],[1.0])","(1156,[75],[1.0])","(1402,[23,321],[1.0,1.0])",0
2.0,165.0,,Lower abdominal pain,Cholelithiasisgallstones,20.0,"(246,[20],[1.0])",75.0,"(1156,[75],[1.0])","(246,[20],[1.0])","(1156,[75],[1.0])","(1402,[20,321],[1.0,1.0])",0
7.0,165.0,,Back ache or pain,Cholelithiasisgallstones,5.0,"(246,[5],[1.0])",75.0,"(1156,[75],[1.0])","(246,[5],[1.0])","(1156,[75],[1.0])","(1402,[5,321],[1.0,1.0])",0
13.0,165.0,,Chest pressure,Cholelithiasisgallstones,27.0,"(246,[27],[1.0])",75.0,"(1156,[75],[1.0])","(246,[27],[1.0])","(1156,[75],[1.0])","(1402,[27,321],[1.0,1.0])",0
32.0,165.0,1.0,Flank pain,Cholelithiasisgallstones,59.0,"(246,[59],[1.0])",75.0,"(1156,[75],[1.0])","(246,[59],[1.0])","(1156,[75],[1.0])","(1402,[59,321],[1.0,1.0])",0
54.0,165.0,,Kidney pain (Flank pain),Cholelithiasisgallstones,68.0,"(246,[68],[1.0])",75.0,"(1156,[75],[1.0])","(246,[68],[1.0])","(1156,[75],[1.0])","(1402,[68,321],[1.0,1.0])",0
66.0,165.0,0.0,Nausea,Cholelithiasisgallstones,14.0,"(246,[14],[1.0])",75.0,"(1156,[75],[1.0])","(246,[14],[1.0])","(1156,[75],[1.0])","(1402,[14,321],[1.0,1.0])",0
89.0,165.0,0.0,Shoulder ache or pain,Cholelithiasisgallstones,102.0,"(246,[102],[1.0])",75.0,"(1156,[75],[1.0])","(246,[102],[1.0])","(1156,[75],[1.0])","(1402,[102,321],[1.0,1.0])",0
113.0,165.0,1.0,Vomiting,Cholelithiasisgallstones,11.0,"(246,[11],[1.0])",75.0,"(1156,[75],[1.0])","(246,[11],[1.0])","(1156,[75],[1.0])","(1402,[11,321],[1.0,1.0])",0
179.0,165.0,1.0,Jaundice (Yellowing skin),Cholelithiasisgallstones,86.0,"(246,[86],[1.0])",75.0,"(1156,[75],[1.0])","(246,[86],[1.0])","(1156,[75],[1.0])","(1402,[86,321],[1.0,1.0])",0
262.0,165.0,,Chest pain,Cholelithiasisgallstones,0.0,"(246,[0],[1.0])",75.0,"(1156,[75],[1.0])","(246,[0],[1.0])","(1156,[75],[1.0])","(1402,[0,321],[1.0,1.0])",0
264.0,165.0,1.0,Stomach and abdominal pain,Cholelithiasisgallstones,4.0,"(246,[4],[1.0])",75.0,"(1156,[75],[1.0])","(246,[4],[1.0])","(1156,[75],[1.0])","(1402,[4,321],[1.0,1.0])",0
1.0,187.0,2.0,Upper abdominal pain,Constipation,23.0,"(246,[23],[1.0])",89.0,"(1156,[89],[1.0])","(246,[23],[1.0])","(1156,[89],[1.0])","(1402,[23,335],[1.0,1.0])",0
2.0,187.0,2.0,Lower abdominal pain,Constipation,20.0,"(246,[20],[1.0])",89.0,"(1156,[89],[1.0])","(246,[20],[1.0])","(1156,[89],[1.0])","(1402,[20,335],[1.0,1.0])",0
